iter	Logloss
0	0.6760191357
1	0.6601604119
2	0.6459197124
3	0.6327638856
4	0.622215125
5	0.613400449
6	0.6018701677
7	0.591684956
8	0.5816345426
9	0.5726773416
10	0.5630373767
11	0.5558065391
12	0.5480394742
13	0.5403912407
14	0.5375256458
15	0.531405758
16	0.5260699925
17	0.5212111654
18	0.5155721148
19	0.5110648309
20	0.5067398704
21	0.5020519307
22	0.4979285808
23	0.4939999225
24	0.489171959
25	0.4864259978
26	0.4835126553
27	0.4810119294
28	0.4779612504
29	0.4753966405
30	0.472013977
31	0.4693580028
32	0.4671345357
33	0.4647840512
34	0.4617715158
35	0.4591380853
36	0.4567002922
37	0.4552305262
38	0.4533848778
39	0.4513185362
40	0.4492983329
41	0.4468532311
42	0.4446989141
43	0.4424992777
44	0.4402128582
45	0.4386791598
46	0.436551193
47	0.4361727617
48	0.4360626045
49	0.4349041608
50	0.4334720653
51	0.4324069229
52	0.4314115908
53	0.4300857271
54	0.4286975781
55	0.4273370067
56	0.4261753049
57	0.4246574743
58	0.4237248168
59	0.4227137134
60	0.4217530354
61	0.4209546804
62	0.419759103
63	0.41857415
64	0.4179050343
65	0.4169585788
66	0.4163187969
67	0.4157195765
68	0.4146579797
69	0.4134103482
70	0.4126589515
71	0.4113791842
72	0.4106331321
73	0.4098640234
74	0.4088477326
75	0.4081631128
76	0.4073832415
77	0.4063449718
78	0.4054215115
79	0.4048232245
80	0.404125142
81	0.4036144549
82	0.4026196667
83	0.4017011288
84	0.4010754385
85	0.4002523336
86	0.3997163098
87	0.3989727202
88	0.3981019285
89	0.3971284357
90	0.3968117112
91	0.3963063585
92	0.3953678375
93	0.3950695345
94	0.3945239369
95	0.3944402024
96	0.3940123807
97	0.3932085669
98	0.3927786229
99	0.3919302364
100	0.3915051385
101	0.3907456513
102	0.3902614192
103	0.389730592
104	0.3892408722
105	0.3887480547
106	0.3883243656
107	0.3877574247
108	0.387343078
109	0.3867759804
110	0.3863758125
111	0.385815806
112	0.3847412775
113	0.3845471513
114	0.3840435274
115	0.3836004951
116	0.3832070975
117	0.3827074973
118	0.3821565811
119	0.3817579241
120	0.3816696891
121	0.3809893408
122	0.3805191767
123	0.3801248907
124	0.3797848809
125	0.3792772393
126	0.3786216862
127	0.378287034
128	0.3781383321
129	0.3776847539
130	0.3774311272
131	0.3773789573
132	0.3770219209
133	0.376466989
134	0.3761878471
135	0.3759371404
136	0.3756186974
137	0.3754168426
138	0.3752266885
139	0.374785437
140	0.3745744137
141	0.3742302397
142	0.3736999081
143	0.3735167258
144	0.3731407491
145	0.3726531424
146	0.3720542771
147	0.3718429838
148	0.3714294072
149	0.370841666
150	0.3707317999
151	0.3705251527
152	0.3703602622
153	0.3702214989
154	0.3702137179
155	0.3696997564
156	0.3692470931
157	0.3689530649
158	0.3686250385
159	0.3683661839
160	0.368051057
161	0.3673035861
162	0.3667300251
163	0.3664658847
164	0.3660203061
165	0.3655349919
166	0.3653620568
167	0.3652212867
168	0.3648001947
169	0.3646936874
170	0.3641063472
171	0.3639358056
172	0.3639358045
173	0.3637614363
174	0.3634936592
175	0.3633249068
176	0.3629035014
177	0.3625661451
178	0.3624063373
179	0.3620892563
180	0.3620360263
181	0.3618673614
182	0.3617435865
183	0.3614957162
184	0.3610899491
185	0.360657828
186	0.360637213
187	0.3604469164
188	0.3604167898
189	0.3600613695
190	0.3596001655
191	0.3594144144
192	0.3594137474
193	0.3590792426
194	0.3588248929
195	0.3585774309
196	0.3583427027
197	0.3583231195
198	0.3579185159
199	0.3577394124
200	0.3576405419
201	0.3575192538
202	0.3572430987
203	0.3567256406
204	0.3564991006
205	0.3564812304
206	0.3563458152
207	0.356063077
208	0.3559148014
209	0.3558953983
210	0.3555086301
211	0.3552451122
212	0.3551159608
213	0.3548294038
214	0.3544219083
215	0.3540496312
216	0.3535186314
217	0.3532574996
218	0.3527635656
219	0.352584563
220	0.3523236007
221	0.3519834499
222	0.3512795243
223	0.351258395
224	0.3509779493
225	0.3505494223
226	0.3501413674
227	0.3500055681
228	0.3497602023
229	0.3495543018
230	0.3490820312
231	0.3486630752
232	0.3485153701
233	0.3482953379
234	0.3481481787
235	0.3480345214
236	0.3477054788
237	0.3474763098
238	0.3472794892
239	0.3470947044
240	0.3468432867
241	0.3466646972
242	0.3463443961
243	0.3459952273
244	0.3458846646
245	0.345717962
246	0.3455932955
247	0.3454347614
248	0.3452937556
249	0.3451459767
250	0.3448538099
251	0.3444213094
252	0.3439365804
253	0.3436080781
254	0.3433516624
255	0.3432384048
256	0.343055143
257	0.3428920795
258	0.3426565357
259	0.3425444382
260	0.3424845704
261	0.3421405363
262	0.3419360628
263	0.3417253824
264	0.3416012508
265	0.3413822839
266	0.341195261
267	0.3408349789
268	0.3405738513
269	0.3405569523
270	0.3402107184
271	0.3395962055
272	0.3393472308
273	0.3392774698
274	0.3390729214
275	0.3389032471
276	0.3387180364
277	0.3384019964
278	0.3384011749
279	0.338200865
280	0.3379733871
281	0.3374667024
282	0.3372679176
283	0.3372602815
284	0.336889112
285	0.3366604273
286	0.3362025425
287	0.335917775
288	0.3357023102
289	0.3356137451
290	0.3353967618
291	0.3349404539
292	0.3346877264
293	0.3346175654
294	0.3342836264
295	0.3341000337
296	0.3338248706
297	0.3337108838
298	0.3333599386
299	0.333024468
300	0.3327708058
301	0.3325128555
302	0.3322554195
303	0.3319531477
304	0.3316181621
305	0.3314747235
306	0.3309242418
307	0.3304847605
308	0.3301790937
309	0.3298258092
310	0.3293893268
311	0.3288823551
312	0.3287094131
313	0.3286116348
314	0.328271684
315	0.3279517075
316	0.3275718532
317	0.3273637767
318	0.3270390658
319	0.3267610549
320	0.3262938692
321	0.3260720495
322	0.3257043256
323	0.3255272239
324	0.3252195408
325	0.325041126
326	0.3248984361
327	0.3247082943
328	0.3245052182
329	0.3240096962
330	0.3238458929
331	0.3236721297
332	0.3233710827
333	0.3230524557
334	0.3229344332
335	0.3226733685
336	0.3223618275
337	0.3222595315
338	0.3219547679
339	0.3216590331
340	0.3213665161
341	0.3207799125
342	0.3205282839
343	0.3203797041
344	0.3202547828
345	0.3201504254
346	0.3200102062
347	0.3198645606
348	0.3196433444
349	0.3192279651
350	0.3187001937
351	0.3185237864
352	0.3181336425
353	0.3179103817
354	0.3177454543
355	0.3174015326
356	0.3171967942
357	0.3170243461
358	0.3167783434
359	0.3166060652
360	0.3163056748
361	0.3159352553
362	0.3157303226
363	0.3154417841
364	0.3152517476
365	0.3148364048
366	0.3144651503
367	0.3143607371
368	0.3141050835
369	0.3138483057
370	0.3136707942
371	0.3135535477
372	0.3132995354
373	0.3129549532
374	0.3127217676
375	0.3125065575
376	0.3123030138
377	0.3119283825
378	0.3115615086
379	0.3112854528
380	0.3111401879
381	0.3109644995
382	0.3108223121
383	0.3107005169
384	0.3105048963
385	0.3103121464
386	0.3102188684
387	0.30994021
388	0.309796866
389	0.309267313
390	0.3089345149
391	0.3087724499
392	0.3085964046
393	0.3081899339
394	0.3078866745
395	0.3076428823
396	0.3072853023
397	0.3070517943
398	0.306891285
399	0.3065201619
400	0.3061333128
401	0.3058076157
402	0.3055947795
403	0.3052483622
404	0.3049846668
405	0.3048282955
406	0.3046758214
407	0.3045555034
408	0.3042978022
409	0.3039423257
410	0.3036349108
411	0.3033003938
412	0.3030460205
413	0.3029443295
414	0.3025590974
415	0.3023873023
416	0.3021157308
417	0.3018605357
418	0.301710557
419	0.3013536111
420	0.3008554332
421	0.3006097965
422	0.3002652476
423	0.2999790567
424	0.2998203371
425	0.2995397455
426	0.2992816846
427	0.2990108938
428	0.2986285172
429	0.2984630669
430	0.2981879004
431	0.2980389035
432	0.297763239
433	0.2976625535
434	0.2972921581
435	0.2970709324
436	0.296792899
437	0.2965926145
438	0.2962466998
439	0.2959917271
440	0.2958470627
441	0.2956549005
442	0.2953860708
443	0.2949866589
444	0.2946969042
445	0.2944782043
446	0.2943308688
447	0.2941063742
448	0.2938539541
449	0.29373855
450	0.2935197451
451	0.2933595454
452	0.2932060927
453	0.2929049721
454	0.2925627149
455	0.2923522673
456	0.2922460093
457	0.2921627366
458	0.2919070606
459	0.2914886157
460	0.2912244866
461	0.2910003515
462	0.2908461496
463	0.2905900364
464	0.2903599972
465	0.2902461621
466	0.2901301679
467	0.2896339546
468	0.2895068074
469	0.2894029402
470	0.2892536916
471	0.2890480936
472	0.288862389
473	0.2886845673
474	0.2883658382
475	0.2881875192
476	0.2877812496
477	0.2875756013
478	0.2874010126
479	0.2871147152
480	0.2869937532
481	0.2865891136
482	0.2865567476
483	0.2864096789
484	0.2863270478
485	0.2859942562
486	0.2855688957
487	0.2852118504
488	0.2848117182
489	0.2847361427
490	0.2842985802
491	0.2841789492
492	0.2840232402
493	0.2836904006
494	0.2834983266
495	0.2833286856
496	0.2832793259
497	0.2831170874
498	0.2828328062
499	0.2827691764
500	0.2826961788
501	0.2824996147
502	0.282277384
503	0.2821449645
504	0.2820017797
505	0.2818507648
506	0.281508388
507	0.2812816124
508	0.2810930541
509	0.2808125292
510	0.2806798017
511	0.2804874116
512	0.2802301863
513	0.2801327307
