iter	Passed	Remaining
0	58	86950
1	67	50374
2	76	38348
3	85	32097
4	95	28634
5	101	25229
6	111	23760
7	119	22293
8	130	21678
9	141	21150
10	151	20545
11	160	19924
12	169	19418
13	178	18940
14	184	18221
15	194	18013
16	203	17719
17	211	17416
18	219	17110
19	228	16885
20	237	16697
21	245	16468
22	252	16236
23	261	16062
24	270	15936
25	278	15764
26	285	15601
27	294	15472
28	303	15371
29	311	15261
30	319	15128
31	328	15070
32	334	14887
33	343	14794
34	351	14693
35	359	14616
36	368	14555
37	373	14356
38	382	14323
39	390	14254
40	399	14231
41	408	14178
42	418	14181
43	426	14114
44	434	14061
45	441	13967
46	449	13909
47	454	13737
48	456	13526
49	466	13518
50	474	13486
51	485	13512
52	494	13503
53	505	13542
54	513	13498
55	522	13465
56	532	13472
57	541	13450
58	550	13445
59	560	13444
60	569	13436
61	579	13439
62	587	13404
63	594	13340
64	600	13248
65	607	13207
66	613	13117
67	622	13108
68	631	13104
69	640	13090
70	651	13107
71	659	13080
72	668	13072
73	677	13048
74	685	13028
75	694	13011
76	702	12980
77	709	12943
78	718	12915
79	726	12888
80	735	12879
81	739	12794
82	748	12773
83	756	12758
84	763	12718
85	772	12709
86	780	12672
87	787	12637
88	795	12615
89	804	12608
90	811	12567
91	819	12545
92	828	12532
93	834	12475
94	841	12450
95	844	12357
96	852	12333
97	861	12318
98	869	12300
99	876	12273
100	885	12270
101	893	12240
102	901	12225
103	909	12202
104	918	12201
105	928	12207
106	937	12206
107	946	12205
108	956	12200
109	964	12188
110	974	12192
111	983	12191
112	993	12199
113	1003	12200
114	1011	12179
115	1018	12155
116	1028	12152
117	1035	12130
118	1044	12121
119	1052	12102
120	1055	12034
121	1064	12026
122	1072	12007
123	1080	11993
124	1089	11981
125	1095	11949
126	1103	11932
127	1111	11917
128	1115	11854
129	1122	11827
130	1130	11815
131	1134	11759
132	1141	11737
133	1149	11721
134	1157	11702
135	1164	11684
136	1172	11664
137	1180	11652
138	1188	11635
139	1195	11617
140	1204	11606
141	1211	11590
142	1220	11584
143	1228	11570
144	1237	11565
145	1245	11547
146	1254	11548
147	1262	11532
148	1272	11535
149	1280	11522
150	1288	11512
151	1295	11487
152	1302	11468
153	1309	11441
154	1313	11394
155	1320	11373
156	1327	11354
157	1335	11343
158	1343	11331
159	1352	11328
160	1359	11303
161	1366	11284
162	1374	11272
163	1382	11263
164	1390	11249
165	1399	11242
166	1407	11238
167	1416	11229
168	1424	11222
169	1428	11175
170	1435	11154
171	1442	11136
172	1444	11079
173	1452	11065
174	1460	11059
175	1468	11044
176	1477	11046
177	1485	11032
178	1493	11022
179	1499	10994
180	1504	10961
181	1512	10950
182	1519	10937
183	1528	10930
184	1537	10925
185	1545	10920
186	1548	10875
187	1553	10840
188	1557	10801
189	1564	10786
190	1573	10784
191	1582	10780
192	1585	10739
193	1593	10728
194	1601	10714
195	1609	10705
196	1615	10688
197	1623	10672
198	1631	10669
199	1640	10666
200	1649	10657
201	1657	10651
202	1665	10641
203	1674	10638
204	1682	10631
205	1686	10593
206	1695	10592
207	1705	10592
208	1712	10577
209	1715	10536
210	1723	10531
211	1731	10518
212	1737	10495
213	1746	10494
214	1753	10478
215	1761	10469
216	1770	10467
217	1780	10468
218	1787	10456
219	1796	10454
220	1804	10441
221	1811	10427
222	1819	10418
223	1822	10383
224	1830	10374
225	1838	10364
226	1847	10360
227	1854	10344
228	1860	10328
229	1868	10316
230	1875	10304
231	1883	10295
232	1891	10283
233	1899	10275
234	1907	10265
235	1914	10255
236	1922	10243
237	1929	10231
238	1937	10224
239	1945	10212
240	1953	10204
241	1959	10188
242	1969	10185
243	1976	10174
244	1984	10164
245	1989	10140
246	1997	10132
247	2006	10129
248	2013	10117
249	2021	10106
250	2028	10094
251	2036	10085
252	2045	10083
253	2053	10071
254	2060	10062
255	2068	10049
256	2075	10037
257	2083	10031
258	2091	10022
259	2099	10014
260	2107	10006
261	2115	9997
262	2123	9987
263	2130	9973
264	2137	9962
265	2145	9952
266	2153	9945
267	2162	9940
268	2170	9931
269	2173	9903
270	2182	9895
271	2191	9892
272	2199	9886
273	2207	9877
274	2215	9868
275	2223	9862
276	2232	9857
277	2240	9848
278	2244	9823
279	2253	9817
280	2259	9803
281	2267	9792
282	2275	9783
283	2278	9756
284	2287	9749
285	2294	9738
286	2302	9731
287	2310	9723
288	2318	9714
289	2327	9711
290	2336	9708
291	2344	9700
292	2351	9688
293	2359	9680
294	2367	9669
295	2376	9666
296	2384	9659
297	2394	9656
298	2403	9653
299	2411	9645
300	2419	9636
301	2427	9630
302	2435	9621
303	2443	9614
304	2450	9601
305	2458	9594
306	2466	9583
307	2474	9575
308	2481	9566
309	2491	9563
310	2499	9554
311	2507	9549
312	2516	9542
313	2523	9531
314	2533	9531
315	2542	9526
316	2551	9521
317	2558	9510
318	2568	9508
319	2575	9498
320	2584	9492
321	2592	9484
322	2602	9484
323	2609	9471
324	2618	9465
325	2625	9455
326	2632	9444
327	2640	9434
328	2647	9423
329	2655	9415
330	2663	9405
331	2670	9393
332	2678	9387
333	2687	9381
334	2693	9368
335	2701	9358
336	2710	9354
337	2718	9345
338	2726	9339
339	2735	9332
340	2744	9328
341	2752	9319
342	2759	9308
343	2766	9297
344	2775	9292
345	2783	9283
346	2791	9276
347	2800	9270
348	2808	9262
349	2816	9255
350	2825	9248
351	2833	9241
352	2842	9235
353	2851	9231
354	2859	9221
355	2866	9209
356	2875	9207
357	2884	9201
358	2892	9191
359	2899	9182
360	2907	9173
361	2916	9169
362	2925	9163
363	2933	9155
364	2941	9146
365	2949	9139
366	2958	9132
367	2965	9121
368	2973	9113
369	2981	9105
370	2989	9098
371	2997	9089
372	3005	9080
373	3012	9070
374	3021	9063
375	3028	9054
376	3037	9047
377	3046	9042
378	3054	9034
379	3062	9024
380	3069	9015
381	3078	9010
382	3086	9002
383	3095	8995
384	3103	8988
385	3113	8984
386	3120	8973
387	3130	8971
388	3136	8959
389	3146	8954
390	3155	8950
